,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,global_unit_sales
106,7.0,Slender: The Arrival,2015.0,Unknown,0.0,0.0,0.0,0.0,0.0
107,8.0,Mortal Kombat X,2015.0,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74
108,6.0,Assassin'S Creed Chronicles: China,2015.0,Ubisoft,0.0,0.0,0.0,0.0,0.0
109,8.0,Geometry Wars 3: Dimensions Evolved,2016.0,Activision,0.02,0.0,0.0,0.0,0.02
110,10.0,The Witcher 3: Wild Hunt,2015.0,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74
111,8.0,Project Cars,2015.0,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41
112,7.0,Wolfenstein: The Old Blood,2015.0,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
113,7.0,Batman: Arkham Knight,2015.0,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58
114,6.0,Lego Jurassic World,2015.0,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78
115,9.0,Rocket League,2016.0,505 Games,0.52,0.75,0.0,0.11,1.38
116,6.0,F1 2015,2015.0,Codemasters,0.09,0.15,0.0,0.02,0.25
117,4.0,Rory Mcilroy Pga Tour,2015.0,Electronic Arts,0.16,0.09,0.0,0.02,0.28
118,8.0,Tembo The Badass Elephant,,,0.0,0.0,0.0,0.0,0.0
119,8.0,Rare Replay,2015.0,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
120,7.0,Gears Of War: Ultimate Edition,2015.0,Microsoft Studios,2.88,0.37,0.0,0.37,3.62
121,10.0,Metal Gear Solid V: The Phantom Pain,2015.0,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
122,8.0,Madden Nfl 16,2015.0,EA Sports,2.13,0.08,0.0,0.26,2.47
123,7.0,Mega Man Legacy Collection,2016.0,Capcom,0.0,0.0,0.0,0.0,0.0
124,8.0,Disney Infinity 3.0,2015.0,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46
125,5.0,Toy Soldiers: War Chest,2015.0,Ubisoft,0.07,0.0,0.0,0.01,0.08
126,8.0,Forza Motorsport 6,2015.0,Microsoft Studios,0.9,0.92,0.04,0.16,2.02
127,8.0,Nhl 16,2015.0,EA Sports,0.41,0.05,0.0,0.05,0.51
128,8.0,Destiny: The Taken King,2015.0,Activision,0.91,0.23,0.0,0.12,1.27
129,9.0,Fifa 16,2015.0,EA Sports,0.92,2.1,0.0,0.24,3.25
130,8.0,Blood Bowl 2,2015.0,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
131,8.0,Lego Dimensions,2015.0,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72
132,8.0,Nba 2K16,2015.0,2K Sports,2.01,0.15,0.0,0.25,2.41
133,7.0,Rock Band 4,2015.0,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75
134,3.0,Tony Hawk'S Pro Skater 5,2015.0,Activision,0.11,0.02,0.0,0.01,0.14
135,7.0,Transformers: Devastation,2015.0,Activision,0.1,0.04,0.0,0.01,0.15
136,7.0,Prison Architect,2016.0,Introversion Software,0.02,0.0,0.0,0.0,0.02
137,5.0,Nba Live 16,2015.0,EA Sports,0.11,0.01,0.0,0.01,0.13
138,6.0,Guitar Hero Live,2015.0,Activision,0.52,0.23,0.0,0.08,0.83
139,9.0,Assassin'S Creed Syndicate,2015.0,Ubisoft,0.71,0.61,0.0,0.12,1.44
140,8.0,Halo 5: Guardians,2015.0,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
141,7.0,Call Of Duty: Black Ops 3,2015.0,Activision,4.63,2.04,0.02,0.68,7.37
142,9.0,Fallout 4,2015.0,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
143,4.0,Wwe 2K16,2015.0,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63
144,8.0,Just Cause 3,2015.0,Square Enix,0.52,0.41,0.0,0.09,1.01
145,8.0,Dirt Rally,2016.0,Codemasters,0.12,0.08,0.0,0.02,0.21
146,7.0,Lego Marvel'S Avengers,2016.0,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48
147,7.0,Plants Vs. Zombies: Garden Warfare 2,2016.0,Electronic Arts,0.47,0.32,0.0,0.08,0.86
148,5.0,Assassin'S Creed Chronicles: Russia,,,0.0,0.0,0.0,0.0,0.0
149,7.0,Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35
150,8.0,Tom Clancy'S The Division,2016.0,Ubisoft,1.54,0.82,0.0,0.24,2.59
151,7.0,Ea Sports Ufc 2,2016.0,EA Sports,0.36,0.19,0.0,0.06,0.61
152,7.0,Trackmania Turbo,2016.0,Ubisoft,0.05,0.04,0.0,0.01,0.1
153,6.0,Quantum Break,2016.0,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
154,9.0,Hyper Light Drifter,,,0.0,0.0,0.0,0.0,0.0
155,7.0,Battleborn,2016.0,2K Games,0.2,0.05,0.0,0.03,0.28
156,5.0,Homefront: The Revolution,2016.0,Deep Silver,0.1,0.09,0.0,0.02,0.21
157,9.0,Xcom 2,2016.0,2K Games,0.15,0.02,0.0,0.02,0.19
158,9.0,Overwatch,2016.0,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
159,4.0,Teenage Mutant Ninja Turtles: Mutants In Manhattan,2016.0,Activision,0.05,0.01,0.0,0.01,0.07
