,score,Game
540,9.0,dark souls ii: scholar of the first sin
541,7.0,slender: the arrival
542,8.0,mortal kombat x
546,6.0,assassin's creed chronicles: china
547,5.0,state of decay: year one survival edition
550,8.0,geometry wars 3: dimensions evolved
551,10.0,the witcher 3: wild hunt
555,8.0,project cars
556,7.0,wolfenstein: the old blood
557,8.0,"life is strange, episode three"
560,5.0,game of thrones: episode four — sons of winter
561,7.0,batman: arkham knight
563,6.0,devil may cry 4: special edition
564,9.0,tales from the borderlands: episode three — catch a ride
565,6.0,lego jurassic world
566,9.0,rocket league
568,6.0,the elder scrolls online: tamriel unlimited
577,6.0,f1 2015
578,9.0,game of thrones: episode five — a nest of vipers
579,7.0,trials fusion: awesome level max edition
581,4.0,rory mcilroy pga tour
582,5.0,prototype biohazard bundle
583,8.0,tembo the badass elephant
584,6.0,"life is strange, episode four"
587,8.0,king's quest chapter 1: a knight to remember
588,6.0,victor vran
589,8.0,rare replay
591,6.0,tales from the borderlands: episode four - escape plan bravo
592,7.0,the bridge
593,6.0,dragon age: inquisition - the descent
597,7.0,gears of war: ultimate edition
599,10.0,metal gear solid v: the phantom pain
601,8.0,madden nfl 16
603,7.0,mega man legacy collection
606,8.0,disney infinity 3.0
608,8.0,dishonored: definitive edition
609,6.0,mad max
610,5.0,toy soldiers: war chest
611,6.0,pillars of eternity: the white march part 1
612,8.0,forza motorsport 6
614,9.0,pes 2016
615,8.0,nhl 16
617,8.0,skylanders superchargers
619,8.0,destiny: the taken king
625,9.0,fifa 16
628,8.0,blood bowl 2
630,8.0,lego dimensions
631,8.0,nba 2k16
633,8.0,cities: skylines after dark
636,7.0,rock band 4
641,3.0,tony hawk's pro skater 5
642,9.0,the witcher 3: wild hunt - hearts of stone
647,7.0,transformers: devastation
649,7.0,minecraft: story mode episode one--the order of the stone
651,7.0,prison architect
652,5.0,nba live 16
653,9.0,tales from the borderlands: episode five — the vault of the traveler
654,6.0,guitar hero live
657,6.0,"life is strange, episode five"
