,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
208,mirror's edge 2,2016,Platform,Electronic Arts,0.11,0.06,0.0,0.02,0.19
209,dance central: spotlight,,Music,,0.15,0.03,0.0,0.0,0.19
210,naruto to boruto: shinobi striker,2018,Action,Bandai Namco Games,0.17,0.0,0.0,0.02,0.19
211,xcom 2,2016,Strategy,2K Games,0.15,0.02,0.0,0.02,0.19
212,f1 2017,2017,Racing,Koch Media,0.04,0.13,0.0,0.01,0.19
213,shape up,2014,Sports,Ubisoft,0.08,0.09,0.0,0.01,0.18
214,cities: skylines,2017,Simulation,Deep Silver,0.13,0.03,0.0,0.02,0.18
215,sniper: ghost warrior 3,2017,Shooter,City Interactive,0.11,0.05,0.0,0.02,0.18
216,project spark (working title),2014,Misc,Microsoft Studios,0.11,0.05,0.0,0.02,0.17
217,rush: a disney pixar adventure,2017,Adventure,Microsoft Studios,0.15,0.0,0.0,0.02,0.17
218,fighter within,2013,Fighting,Ubisoft,0.08,0.07,0.0,0.01,0.17
219,murdered: soul suspect,2014,Action-Adventure,Square Enix,0.08,0.07,0.0,0.01,0.17
220,pac-man championship edition 2 + arcade game series,2016,Action,Namco Bandai Games,0.15,0.0,0.0,0.02,0.16
221,angry birds: star wars,2013,Puzzle,Activision,0.11,0.04,0.0,0.02,0.16
222,little nightmares,2017,Platform,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16
223,the walking dead: season one,2014,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16
224,wolfenstein: the old blood,2015,Shooter,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
225,pro evolution soccer 2015,2014,Sports,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15
226,transformer: rise of the dark spark,2014,Shooter,Activision,0.1,0.03,0.0,0.01,0.15
227,the escapists 2,2017,Action,Sold Out,0.05,0.08,0.0,0.01,0.15
228,transformers: devastation,2015,Action,Activision,0.1,0.04,0.0,0.01,0.15
