,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,Global
115,9.0,rocket league,2016.0,505 Games,0.52,0.75,0.0,0.11,1.38
116,6.0,f1 2015,2015.0,Codemasters,0.09,0.15,0.0,0.02,0.25
117,4.0,rory mcilroy pga tour,2015.0,Electronic Arts,0.16,0.09,0.0,0.02,0.28
118,8.0,tembo the badass elephant,,,0.0,0.0,0.0,0.0,0.0
119,8.0,rare replay,2015.0,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
120,7.0,gears of war: ultimate edition,2015.0,Microsoft Studios,2.88,0.37,0.0,0.37,3.62
121,10.0,metal gear solid v: the phantom pain,2015.0,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
122,8.0,madden nfl 16,2015.0,EA Sports,2.13,0.08,0.0,0.26,2.47
123,7.0,mega man legacy collection,2016.0,Capcom,0.0,0.0,0.0,0.0,0.0
124,8.0,disney infinity 3.0,2015.0,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46
125,5.0,toy soldiers: war chest,2015.0,Ubisoft,0.07,0.0,0.0,0.01,0.08
126,8.0,forza motorsport 6,2015.0,Microsoft Studios,0.9,0.92,0.04,0.16,2.02
127,8.0,nhl 16,2015.0,EA Sports,0.41,0.05,0.0,0.05,0.51
128,8.0,destiny: the taken king,2015.0,Activision,0.91,0.23,0.0,0.12,1.27
129,9.0,fifa 16,2015.0,EA Sports,0.92,2.1,0.0,0.24,3.25
130,8.0,blood bowl 2,2015.0,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
131,8.0,lego dimensions,2015.0,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72
132,8.0,nba 2k16,2015.0,2K Sports,2.01,0.15,0.0,0.25,2.41
133,7.0,rock band 4,2015.0,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75
134,3.0,tony hawk's pro skater 5,2015.0,Activision,0.11,0.02,0.0,0.01,0.14
135,7.0,transformers: devastation,2015.0,Activision,0.1,0.04,0.0,0.01,0.15
136,7.0,prison architect,2016.0,Introversion Software,0.02,0.0,0.0,0.0,0.02
137,5.0,nba live 16,2015.0,EA Sports,0.11,0.01,0.0,0.01,0.13
138,6.0,guitar hero live,2015.0,Activision,0.52,0.23,0.0,0.08,0.83
139,9.0,assassin's creed syndicate,2015.0,Ubisoft,0.71,0.61,0.0,0.12,1.44
140,8.0,halo 5: guardians,2015.0,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
141,7.0,call of duty: black ops 3,2015.0,Activision,4.63,2.04,0.02,0.68,7.37
142,9.0,fallout 4,2015.0,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
