,Game,Year,Publisher,North America,Europe,Japan,Rest of World,Global
29,forza motorsport 5,2013.0,Microsoft Studios,1.28,0.9,0.01,0.21,2.4
30,destiny 2,2017.0,Activision,1.66,0.47,0.0,0.23,2.35
31,assassin's creed iv: black flag,2013.0,Ubisoft,1.51,0.59,0.0,0.22,2.32
32,fifa 15,2014.0,EA Sports,0.64,1.39,0.0,0.16,2.19
33,playerunknown's battlegrounds,2017.0,Microsoft Studios,1.29,0.69,0.0,0.2,2.17
34,battlefield 4,2013.0,Electronic Arts,1.26,0.65,0.0,0.19,2.09
35,nba 2k17,2016.0,2K Sports,1.7,0.12,0.0,0.21,2.04
36,forza motorsport 6,2015.0,Microsoft Studios,0.9,0.92,0.04,0.16,2.02
37,nba 2k18,2017.0,2K Sports,1.67,0.14,0.0,0.21,2.02
38,star wars battlefront ii (2017),2017.0,Electronic Arts,1.15,0.59,0.0,0.17,1.92
39,madden nfl 18,2017.0,EA Sports,1.63,0.07,0.0,0.2,1.91
40,the elder scrolls v: skyrim,2016.0,Bethesda Softworks,1.13,0.53,0.0,0.17,1.83
41,far cry 5,2018.0,Ubisoft,1.14,0.47,0.0,0.17,1.78
42,mortal kombat x,2015.0,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74
43,nba 2k15,2014.0,2K Sports,1.39,0.18,0.0,0.18,1.74
44,the witcher 3: wild hunt,2015.0,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74
45,far cry 4,2014.0,Ubisoft,0.85,0.68,0.02,0.14,1.68
46,watch dogs,2014.0,Ubisoft,0.91,0.59,0.0,0.15,1.64
47,dead rising 3,2013.0,Microsoft Studios,1.06,0.4,0.01,0.15,1.63
48,tom clancy's ghost recon wildlands,2017.0,Ubisoft,0.98,0.48,0.0,0.15,1.61
49,madden nfl 15,2014.0,EA Sports,1.34,0.1,0.0,0.17,1.6
50,rise of the tomb raider,2015.0,Square Enix,0.61,0.82,0.03,0.12,1.58
51,batman: arkham knight,2015.0,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58
52,forza motorsport 7,2017.0,Microsoft Studios,0.58,0.81,0.01,0.12,1.52
53,dying light,2015.0,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47
54,ryse,2013.0,Microsoft Studios,0.84,0.49,0.0,0.13,1.47
55,forza horizon 2,2014.0,Microsoft Studios,0.56,0.79,0.01,0.11,1.46
56,doom (2016),2016.0,Bethesda Softworks,0.76,0.57,0.0,0.13,1.45
57,assassin's creed syndicate,2015.0,Ubisoft,0.71,0.61,0.0,0.12,1.44
58,middle-earth: shadow of mordor,2014.0,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42
59,rocket league,2016.0,505 Games,0.52,0.75,0.0,0.11,1.38
60,the elder scrolls online,2015.0,Bethesda Softworks,0.86,0.39,0.0,0.13,1.38
61,titanfall 2,2016.0,Electronic Arts,0.88,0.37,0.0,0.13,1.37
62,watch dogs 2,2016.0,Ubisoft,0.71,0.53,0.0,0.12,1.35
63,fifa soccer 14,2013.0,EA Sports,0.44,0.78,0.0,0.1,1.31
64,destiny: the taken king,2015.0,Activision,0.91,0.23,0.0,0.12,1.27
65,battlefield: hardline,2015.0,Electronic Arts,0.73,0.39,0.01,0.11,1.24
66,sunset overdrive,2014.0,Microsoft Studios,0.64,0.42,0.0,0.1,1.16
67,middle-earth: shadow of war,2017.0,Warner Bros. Interactive Entertainment,0.75,0.29,0.0,0.11,1.15
68,lego marvel super heroes,2013.0,Warner Bros. Interactive Entertainment,0.61,0.44,0.0,0.1,1.15
69,final fantasy xv,2016.0,Square Enix,0.72,0.3,0.01,0.11,1.14
70,mafia iii,2016.0,2K Games,0.54,0.48,0.0,0.09,1.11
71,diablo iii,2014.0,Blizzard Entertainment,0.62,0.32,0.0,0.09,1.04
72,just cause 3,2015.0,Square Enix,0.52,0.41,0.0,0.09,1.01
73,far cry: primal,2016.0,Ubisoft,0.51,0.41,0.0,0.09,1.0
74,dragon age iii: inquisition,2014.0,Electronic Arts,0.63,0.27,0.0,0.09,0.99
75,sea of thieves,2018.0,Microsoft Studios,0.6,0.27,0.0,0.09,0.96
76,nba 2k14,2013.0,2K Sports,0.72,0.12,0.0,0.09,0.94
77,monster hunter: world,2018.0,Capcom,0.67,0.17,0.0,0.09,0.93
78,injustice 2,2017.0,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89
79,resident evil vii: biohazard,2017.0,Capcom,0.51,0.3,0.0,0.08,0.89
80,for honor,2017.0,Ubisoft,0.57,0.21,0.0,0.08,0.87
81,dishonored 2,2016.0,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86
82,plants vs. zombies: garden warfare 2,2016.0,Electronic Arts,0.47,0.32,0.0,0.08,0.86
83,madden nfl 25,2013.0,EA Sports,0.69,0.06,0.0,0.09,0.83
84,metal gear solid v: the phantom pain,2015.0,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
85,guitar hero live,2015.0,Activision,0.52,0.23,0.0,0.08,0.83
86,dark souls iii,2016.0,Namco Bandai Games,0.56,0.15,0.0,0.08,0.79
87,lego jurassic world,2015.0,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78
88,rare replay,2015.0,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
89,mass effect: andromeda,2017.0,Electronic Arts,0.5,0.2,0.0,0.07,0.78
90,minecraft: story mode,2015.0,Mojang,0.46,0.24,0.0,0.07,0.77
91,fortnite,2017.0,Gearbox Software,0.6,0.09,0.0,0.08,0.77
92,quantum break,2016.0,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
93,wolfenstein: the new order,2014.0,Bethesda Softworks,0.39,0.3,0.0,0.06,0.75
94,rock band 4,2015.0,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75
95,need for speed (2015),2015.0,Electronic Arts,0.35,0.33,0.0,0.06,0.74
96,the sims 4,2017.0,Electronic Arts,0.42,0.24,0.0,0.07,0.73
97,need for speed: payback,2017.0,Electronic Arts,0.42,0.24,0.0,0.07,0.73
98,dead rising 4,2016.0,Microsoft Studios,0.41,0.25,0.0,0.06,0.73
99,lego dimensions,2015.0,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72
100,the crew,2014.0,Ubisoft,0.32,0.34,0.0,0.06,0.71
101,plants vs zombies: garden warfare,2014.0,Electronic Arts,0.39,0.25,0.0,0.06,0.71
102,need for speed rivals,2013.0,Electronic Arts,0.45,0.19,0.0,0.07,0.7
103,wolfenstein ii: the new colossus,2017.0,Bethesda Softworks,0.45,0.19,0.0,0.07,0.7
104,the evil within,2014.0,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69
105,lego worlds,2017.0,Warner Bros. Interactive Entertainment,0.28,0.35,0.0,0.05,0.69
106,borderlands: the handsome collection,2015.0,2K Games,0.49,0.13,0.0,0.07,0.68
107,evolve,2015.0,2K Games,0.4,0.2,0.0,0.06,0.67
108,wwe 2k18,2017.0,2K Sports,0.35,0.25,0.0,0.06,0.66
109,tomb raider (2013),2014.0,Square Enix,0.38,0.22,0.0,0.06,0.66
110,the lego movie videogame,2014.0,Warner Bros. Interactive Entertainment,0.42,0.17,0.0,0.06,0.65
111,wwe 2k16,2015.0,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63
112,kinect sports rivals,2014.0,Microsoft Studios,0.3,0.25,0.02,0.05,0.62
113,south park: the fractured but whole,2017.0,Ubisoft,0.4,0.17,0.0,0.06,0.62
114,wwe 2k15,2014.0,2K Sports,0.32,0.23,0.0,0.05,0.61
115,ea sports ufc 2,2016.0,EA Sports,0.36,0.19,0.0,0.06,0.61
116,nhl 17,2016.0,EA Sports,0.52,0.01,0.0,0.06,0.6
117,tekken 7,2017.0,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58
118,lego marvel super heroes 2,2017.0,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57
119,wwe 2k17,2016.0,2K Games,0.26,0.26,0.0,0.05,0.57
120,disney infinity 2.0: marvel super heroes,2014.0,Disney Interactive Studios,0.35,0.15,0.0,0.05,0.55
121,just dance 2015,2014.0,Ubisoft,0.36,0.13,0.0,0.05,0.54
122,dragon ball fighter z,2018.0,Namco Bandai Games,0.38,0.09,0.0,0.05,0.52
123,alien: isolation,2014.0,Sega,0.23,0.25,0.0,0.04,0.52
124,halo wars 2,2017.0,Microsoft Studios,0.31,0.15,0.0,0.05,0.51
125,nhl 16,2015.0,EA Sports,0.41,0.05,0.0,0.05,0.51
126,lego star wars: the force awakens,2016.0,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5
127,mad max (2013),2015.0,Warner Bros. Interactive Entertainment,0.29,0.16,0.0,0.05,0.5
128,lego marvel's avengers,2016.0,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48
129,zoo tycoon (2013),2013.0,Microsoft Studios,0.25,0.18,0.0,0.04,0.48
130,steep,2016.0,Ubisoft,0.24,0.2,0.0,0.04,0.48
131,thief 4,2014.0,Square Enix,0.26,0.17,0.0,0.04,0.48
132,just dance 2014,2013.0,Ubisoft,0.31,0.12,0.0,0.04,0.48
133,ea sports ufc,2014.0,Electronic Arts,0.3,0.13,0.0,0.04,0.48
134,bioshock the collection,2016.0,2K Games,0.35,0.08,0.0,0.05,0.48
135,dragon ball: xenoverse 2,2016.0,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47
136,ark: survival evolved,2017.0,Studio Wildcard,0.3,0.12,0.0,0.04,0.46
137,disney infinity 3.0,2015.0,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46
138,prey (2017),2017.0,Bethesda Softworks,0.21,0.2,0.0,0.04,0.45
139,skylanders: trap team,2014.0,Activision,0.34,0.07,0.0,0.04,0.45
140,lego batman 3: beyond gotham,2014.0,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44
141,ea sports ufc 3,2018.0,EA Sports,0.3,0.1,0.0,0.04,0.44
142,rocksmith 2014,2014.0,Ubisoft,0.31,0.08,0.0,0.04,0.43
143,sniper elite 3,2014.0,505 Games,0.27,0.12,0.0,0.04,0.43
144,hello neighbor,2017.0,Gearbox Software,0.27,0.11,0.0,0.04,0.42
145,nhl 15,2014.0,EA Sports,0.32,0.06,0.0,0.04,0.42
146,project cars,2015.0,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41
147,destiny: the collection,2016.0,Activision,0.25,0.12,0.0,0.04,0.41
148,skylanders: superchargers,2015.0,Activision,0.31,0.05,0.0,0.04,0.4
149,deus ex: mankind divided,2016.0,Square Enix,0.25,0.11,0.0,0.04,0.39
150,nhl 18,2017.0,EA Sports,0.32,0.03,0.0,0.04,0.39
151,the evil within ii,2017.0,Bethesda Softworks,0.25,0.1,0.0,0.04,0.39
152,rayman legends,2014.0,Ubisoft,0.13,0.22,0.0,0.03,0.38
153,just dance 2016,2015.0,Ubisoft,0.3,0.04,0.0,0.04,0.38
154,skylanders swap force,2013.0,Activision,0.25,0.07,0.0,0.03,0.35
155,naruto shippuden: ultimate ninja storm 4,2016.0,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35
156,dragon ball: xenoverse,2015.0,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35
157,marvel vs. capcom: infinite,2017.0,Capcom,0.26,0.05,0.0,0.03,0.34
158,just dance 2017,2016.0,Ubisoft,0.25,0.05,0.0,0.03,0.34
159,the lego ninjago movie videogame,2017.0,Warner Bros. Interactive Entertainment,0.21,0.09,0.0,0.03,0.33
160,the crew 2,2018.0,Ubisoft,0.2,0.1,0.0,0.03,0.33
161,farming simulator 17,2016.0,Focus Home Interactive,0.19,0.11,0.0,0.03,0.33
162,metro 2033,2014.0,Deep Silver,0.15,0.14,0.0,0.03,0.31
163,hitman (2016),2017.0,Square Enix,0.2,0.08,0.0,0.03,0.31
164,lego city undercover,2017.0,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3
165,final fantasy type-0,2015.0,Square Enix,0.2,0.07,0.0,0.03,0.3
166,sniper elite 4,2017.0,Rebellion Developments,0.18,0.09,0.0,0.03,0.3
167,sonic forces,2017.0,Sega,0.15,0.11,0.0,0.03,0.29
168,dark souls ii,2015.0,Namco Bandai Games,0.19,0.07,0.0,0.03,0.28
169,battleborn,2016.0,2K Games,0.2,0.05,0.0,0.03,0.28
170,rory mcilroy pga tour,2015.0,Electronic Arts,0.16,0.09,0.0,0.02,0.28
171,assassin's creed the ezio collection,2016.0,Ubisoft,0.13,0.12,0.0,0.02,0.27
172,lego the hobbit,2014.0,Warner Bros. Interactive Entertainment,0.13,0.13,0.0,0.02,0.27
173,metal gear solid: ground zeroes,2014.0,Konami Digital Entertainment,0.13,0.13,0.0,0.02,0.27
174,minecraft: story mode - season two,2017.0,Telltale Games,0.17,0.08,0.0,0.02,0.27
175,skylanders imaginators,2016.0,Activision,0.19,0.05,0.0,0.03,0.27
176,friday the 13th: the game,2017.0,Gun Media,0.21,0.03,0.0,0.03,0.27
177,recore,2016.0,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
178,f1 2015,2015.0,Codemasters,0.09,0.15,0.0,0.02,0.25
179,l.a. noire,2017.0,Rockstar Games,0.14,0.09,0.0,0.02,0.25
180,trials fusion,2014.0,Ubisoft,0.12,0.1,0.0,0.02,0.25
181,call of duty: modern warfare remastered,2017.0,Activision,0.16,0.06,0.0,0.02,0.24
182,zumba fitness: world party,2013.0,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24
183,saints row iv,2015.0,Deep Silver,0.13,0.09,0.0,0.02,0.24
184,farming simulator 2015,2015.0,Koch Media,0.13,0.09,0.0,0.02,0.24
185,a way out,2018.0,Electronic Arts,0.17,0.05,0.0,0.02,0.24
186,nba live 14,2013.0,EA Sports,0.19,0.02,0.0,0.02,0.24
187,payday 2,2015.0,505 Games,0.14,0.07,0.0,0.02,0.23
188,dirt 4,2017.0,Codemasters,0.11,0.1,0.0,0.02,0.23
189,nba live 15,2014.0,Electronic Arts,0.18,0.02,0.0,0.02,0.22
190,f1 2016 (codemasters),2016.0,Codemasters,0.09,0.12,0.0,0.02,0.22
191,deadpool,2015.0,Activision,0.17,0.03,0.0,0.02,0.22
192,the amazing spider-man 2 (2014),2014.0,Activision,0.12,0.08,0.0,0.02,0.22
193,kingdom come: deliverance,2018.0,Deep Silver,0.14,0.06,0.0,0.02,0.22
194,lords of the fallen,2014.0,Square Enix,0.1,0.1,0.0,0.02,0.22
195,super lucky's tale,2017.0,Microsoft Studios,0.13,0.07,0.0,0.02,0.22
196,dirt rally,2016.0,Codemasters,0.12,0.08,0.0,0.02,0.21
197,just dance 2018,2017.0,Ubisoft,0.15,0.04,0.0,0.02,0.21
198,homefront: the revolution,2016.0,Deep Silver,0.1,0.09,0.0,0.02,0.21
199,state of decay,2015.0,Microsoft Studios,0.14,0.05,0.0,0.02,0.21
200,nba live 18,2017.0,EA Sports,0.18,0.0,0.0,0.02,0.21
201,thehunter: call of the wild,2017.0,Astragon,0.18,0.0,0.0,0.02,0.21
202,sleeping dogs,2014.0,Square Enix,0.1,0.09,0.0,0.02,0.2
203,project cars 2,2017.0,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2
204,batman: return to arkham,2016.0,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2
205,dishonored,2015.0,Bethesda Softworks,0.13,0.05,0.0,0.02,0.19
206,one piece: burning blood,2016.0,Namco Bandai Games,0.11,0.07,0.0,0.02,0.19
207,fantasia: music evolved,2014.0,Disney Interactive Studios,0.14,0.03,0.0,0.02,0.19
208,mirror's edge 2,2016.0,Electronic Arts,0.11,0.06,0.0,0.02,0.19
209,dance central: spotlight,,,0.15,0.03,0.0,0.0,0.19
210,naruto to boruto: shinobi striker,2018.0,Bandai Namco Games,0.17,0.0,0.0,0.02,0.19
211,xcom 2,2016.0,2K Games,0.15,0.02,0.0,0.02,0.19
212,f1 2017,2017.0,Koch Media,0.04,0.13,0.0,0.01,0.19
213,shape up,2014.0,Ubisoft,0.08,0.09,0.0,0.01,0.18
214,cities: skylines,2017.0,Deep Silver,0.13,0.03,0.0,0.02,0.18
215,sniper: ghost warrior 3,2017.0,City Interactive,0.11,0.05,0.0,0.02,0.18
216,project spark (working title),2014.0,Microsoft Studios,0.11,0.05,0.0,0.02,0.17
217,rush: a disney pixar adventure,2017.0,Microsoft Studios,0.15,0.0,0.0,0.02,0.17
218,fighter within,2013.0,Ubisoft,0.08,0.07,0.0,0.01,0.17
219,murdered: soul suspect,2014.0,Square Enix,0.08,0.07,0.0,0.01,0.17
220,pac-man championship edition 2 + arcade game series,2016.0,Namco Bandai Games,0.15,0.0,0.0,0.02,0.16
221,angry birds: star wars,2013.0,Activision,0.11,0.04,0.0,0.02,0.16
222,little nightmares,2017.0,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16
223,the walking dead: season one,2014.0,Telltale Games,0.08,0.06,0.0,0.01,0.16
224,wolfenstein: the old blood,2015.0,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
225,pro evolution soccer 2015,2014.0,Konami Digital Entertainment,0.04,0.1,0.0,0.01,0.15
226,transformer: rise of the dark spark,2014.0,Activision,0.1,0.03,0.0,0.01,0.15
227,the escapists 2,2017.0,Sold Out,0.05,0.08,0.0,0.01,0.15
228,transformers: devastation,2015.0,Activision,0.1,0.04,0.0,0.01,0.15
229,spintires: mudrunner,2017.0,Focus Home Interactive,0.11,0.02,0.0,0.01,0.15
230,dmc: devil may cry,2015.0,Capcom,0.09,0.04,0.0,0.01,0.15
231,attack on titan (koei),2016.0,Tecmo Koei,0.06,0.07,0.0,0.01,0.15
232,tony hawk's pro skater 5,2015.0,Activision,0.11,0.02,0.0,0.01,0.14
233,naruto shippuden: ultimate ninja storm legacy,2017.0,Namco Bandai Games,0.11,0.02,0.0,0.01,0.14
234,the walking dead: season two,2014.0,Telltale Games,0.08,0.05,0.0,0.01,0.14
235,resident evil: revelations 2,2015.0,Capcom,0.1,0.02,0.0,0.01,0.14
236,dishonored: death of the outsider,2017.0,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14
237,ultimate marvel vs. capcom 3,2017.0,Capcom,0.12,0.0,0.0,0.01,0.14
238,the elder scrolls online: morrowind,2017.0,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14
239,hasbro family fun pack,2015.0,Ubisoft,0.1,0.02,0.0,0.01,0.13
240,rocksmith 2014 edition remastered,2016.0,Ubisoft,0.12,0.0,0.0,0.01,0.13
241,song of the deep,2016.0,Insomniac Games,0.12,0.0,0.0,0.01,0.13
242,nba live 16,2015.0,EA Sports,0.11,0.01,0.0,0.01,0.13
243,outlast trinity,2017.0,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.13
244,sonic mania,2017.0,Sega,0.09,0.03,0.0,0.01,0.13
245,dead by daylight,2017.0,505 Games,0.08,0.03,0.0,0.01,0.12
246,darksiders iii,2018.0,THQ Nordic,0.11,0.0,0.0,0.01,0.12
247,vampyr,2018.0,Focus Home Interactive,0.07,0.04,0.0,0.01,0.12
248,the walking dead - the telltale series: a new frontier,2017.0,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12
249,nascar heat 2,2017.0,505 Games,0.11,0.0,0.0,0.01,0.12
250,life is strange,2016.0,Square Enix,0.08,0.03,0.0,0.01,0.12
251,wolfenstein the two pack,2017.0,Bethesda Softworks,0.11,0.0,0.0,0.01,0.12
252,the surge,2017.0,Koch Media,0.07,0.04,0.0,0.01,0.12
253,naruto shippuden ultimate ninja storm 4: road to boruto,2017.0,Namco Bandai Games,0.11,0.0,0.0,0.01,0.12
254,pro evolution soccer 2016,2015.0,Konami Digital Entertainment,0.05,0.06,0.0,0.01,0.12
255,pro evolution soccer 2018,2017.0,Konami Digital Entertainment,0.06,0.05,0.0,0.01,0.12
256,7 days to die,2016.0,Telltale Games,0.09,0.02,0.0,0.01,0.12
257,zombie army trilogy,2015.0,Rebellion Developments,0.05,0.05,0.0,0.01,0.12
258,prototype: biohazard bundle,2016.0,Activision,0.1,0.0,0.0,0.01,0.11
259,ride,2015.0,Milestone S.r.l.,0.05,0.05,0.0,0.01,0.11
260,agents of mayhem,2017.0,Deep Silver,0.07,0.03,0.0,0.01,0.11
261,metal gear solid v: the definitive experience,2016.0,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
262,killer instinct (2013),2014.0,Microsoft Studios,0.07,0.03,0.0,0.01,0.11
263,mxgp 2,2016.0,Milestone S.r.l.,0.07,0.02,0.0,0.01,0.1
264,nascar heat evolution,2016.0,Dusenberry Martin Racing,0.09,0.0,0.0,0.01,0.1
265,trackmania turbo,2016.0,Ubisoft,0.05,0.04,0.0,0.01,0.1
266,divinity: original sin,2015.0,Focus Home Interactive,0.06,0.03,0.0,0.01,0.1
267,dead or alive 5,2015.0,Tecmo Koei,0.05,0.03,0.01,0.01,0.1
268,pro evolution soccer 2017,2016.0,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1
269,resident evil zero,2016.0,Capcom,0.07,0.02,0.0,0.01,0.1
270,sword art online: fatal bullet,2018.0,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1
271,yooka-laylee,2017.0,Sold Out,0.05,0.04,0.0,0.01,0.1
272,real farm,2017.0,Soedesco,0.08,0.0,0.0,0.01,0.1
273,we happy few,2018.0,Gearbox Software,0.07,0.01,0.0,0.01,0.09
274,duke nukem 3d: 20th anniversary world tour,2016.0,Gearbox Software,0.08,0.0,0.0,0.01,0.09
275,the wolf among us,2014.0,Telltale Games,0.06,0.02,0.0,0.01,0.09
276,attack on titan 2,2018.0,Koei Tecmo,0.08,0.0,0.0,0.01,0.09
277,rugby 15,2015.0,Bigben Interactive,0.03,0.05,0.0,0.01,0.09
278,mxgp 3: the official motocross videogame,2017.0,Milestone,0.06,0.02,0.0,0.01,0.09
279,bladestorm: nightmare,2015.0,Tecmo Koei,0.06,0.02,0.0,0.01,0.08
280,monster energy supercross - the official videogame,2018.0,Milestone S.r.l.,0.08,0.0,0.0,0.01,0.08
281,america's greatest game shows: wheel of fortune & jeopardy!,2017.0,Ubisoft,0.08,0.0,0.0,0.01,0.08
282,dead island definitive collection,2016.0,Deep Silver,0.05,0.03,0.0,0.01,0.08
283,ride 2,2016.0,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08
284,elite: dangerous,2017.0,Frontier Developments,0.07,0.0,0.0,0.01,0.08
285,just dance: disney party 2,2015.0,Ubisoft,0.06,0.01,0.0,0.01,0.08
286,bulletstorm: full clip edition,2017.0,Gearbox Software,0.06,0.01,0.0,0.01,0.08
287,micro machines: world series,2017.0,Codemasters,0.02,0.05,0.0,0.01,0.08
288,darksiders ii,2015.0,Nordic Games,0.05,0.03,0.0,0.01,0.08
289,sherlock holmes: crimes & punishments,2014.0,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
290,toy soldiers: war chest,2015.0,Ubisoft,0.07,0.0,0.0,0.01,0.08
291,blazblue: chrono phantasma extend,2015.0,PQube,0.06,0.01,0.0,0.01,0.08
292,metal gear survive,2018.0,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08
293,the golf club,2015.0,Ravenscourt,0.07,0.0,0.0,0.01,0.07
294,batman: a telltale game series,2016.0,Telltale Games,0.06,0.01,0.0,0.01,0.07
295,constructor hd,2017.0,System 3,0.07,0.0,0.0,0.01,0.07
296,teenage mutant ninja turtles: mutants in manhattan,2016.0,Activision,0.05,0.01,0.0,0.01,0.07
297,valentino rossi: the game,2016.0,Namco Bandai Games,0.05,0.02,0.0,0.01,0.07
298,disneyland adventures,2017.0,Microsoft Studios,0.05,0.01,0.0,0.01,0.07
299,dynasty warriors 8: empires,2014.0,Tecmo Koei,0.04,0.02,0.0,0.01,0.07
300,resident evil 6,2016.0,Capcom,0.06,0.0,0.0,0.01,0.07
301,ghostbusters (2016),2016.0,Activision,0.06,0.0,0.0,0.01,0.07
302,r.b.i. baseball 2017,2017.0,MLB.com,0.06,0.0,0.0,0.01,0.07
303,aven colony,2017.0,Sold Out,0.06,0.0,0.0,0.01,0.06
304,adventure time: finn & jake investigations,2015.0,Little Orbit,0.04,0.02,0.0,0.01,0.06
305,atari flashback classics: volume 1,2016.0,Atari,0.06,0.0,0.0,0.01,0.06
306,motogp 17,2017.0,Koch Media,0.04,0.02,0.0,0.01,0.06
307,wasteland 2,2015.0,Deep Silver,0.05,0.01,0.0,0.01,0.06
308,mx vs atv supercross encore 2017 track edition,2017.0,THQ Nordic,0.05,0.0,0.0,0.01,0.06
309,cartoon network battle crashers,2016.0,Maximum Games,0.05,0.01,0.0,0.01,0.06
310,hasbro family fun pack conquest edition,2016.0,Ubisoft,0.05,0.0,0.0,0.01,0.06
311,sherlock holmes: the devil's daughter,2016.0,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
312,mx vs. atv supercross encore,2015.0,Nordic Games,0.05,0.0,0.0,0.01,0.06
313,killing floor 2,2017.0,Tripwire Interactive,0.05,0.0,0.0,0.01,0.06
314,r.b.i. baseball 2016,2016.0,MLB.com,0.05,0.0,0.0,0.01,0.06
315,okami,2017.0,Capcom,0.05,0.0,0.0,0.01,0.06
