,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
67,Guitar Hero Live,81,21,5.1,76.0,T,"['Action', ' Rhythm', ' Music']",2015,Activision,0.83
68,Sunset Overdrive,81,89,7.8,1357.0,M,"['General', ' Action', ' General', ' Shooter', ' Third-Person', ' Arcade']",2014,Microsoft Studios,1.16
69,Watch Dogs 2,81,11,7.4,256.0,M,"['Action Adventure', ' Open-World']",2016,Ubisoft,1.35
70,Middle-Earth: Shadow Of War,81,38,4.0,348.0,M,"['Action Adventure', ' Open-World']",2017,Warner Bros. Interactive Entertainment,1.15
71,Project Cars,81,16,5.8,151.0,E,"['Driving', ' Racing', ' Simulation', ' General', ' Automobile']",2015,Bandai Namco Games,0.41
72,Valiant Hearts: The Great War,81,16,8.1,195.0,T,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']",2014,,0.0
73,Sniper Elite 4,81,18,7.3,69.0,M,"['Action', ' Shooter', ' First-Person', ' Tactical']",2017,Rebellion Developments,0.3
74,Shantae: Half-Genie Hero,80,6,7.8,30.0,T,"['Action', ' Platformer', ' Platformer', ' 2D', ' 2D']",2016,,0.0
75,Lego Dimensions,80,12,6.9,30.0,E10+,"['Action Adventure', ' General']",2015,Warner Bros. Interactive Entertainment,0.72
76,Super Time Force,80,36,6.5,117.0,T,"['Action', ' Platformer', ' Shooter', ' 2D', ' Scrolling', "" Shoot-'Em-Up"", ' Vertical']",2014,,0.0
77,Trials Fusion,80,28,7.1,167.0,E10+,"['Driving', ' Racing', ' Arcade', ' Motorcycle', ' Automobile', ' Street', ' Street']",2014,Ubisoft,0.25
78,Naruto Shippuden: Ultimate Ninja Storm 4,80,12,8.2,80.0,T,"['Action', ' Fighting', ' 3D']",2016,Namco Bandai Games,0.35
79,Borderlands: The Handsome Collection,80,11,7.9,152.0,M,"['Miscellaneous', ' Compilation']",2015,2K Games,0.68
80,Nhl 16,80,18,6.1,84.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']",2015,EA Sports,0.51
81,Tom Clancy'S The Division,80,33,6.9,688.0,M,"['Shooter', ' Modern', ' Modern', ' Action', ' Shooter', ' Third-Person', ' Tactical', ' Arcade']",2016,Ubisoft,2.59
82,Madden Nfl 15,80,19,6.2,138.0,E,"['Sports', ' Traditional', ' Team', ' Football', ' Sim']",2014,EA Sports,1.6
83,Elite: Dangerous,80,30,7.1,111.0,T,"['Simulation', ' Space', ' Civilian']",2015,Frontier Developments,0.08
84,Call Of Duty: Wwii,80,21,4.2,399.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2017,Activision,6.23
85,Forza Motorsport 5,79,76,6.0,1126.0,E,"['GT / Street', ' Driving', ' Racing', ' Simulation', ' GT / Street', ' Automobile']",2013,Microsoft Studios,2.4
86,A Way Out,79,26,7.6,151.0,M,"['Action Adventure', ' General']",2018,Electronic Arts,0.24
87,The Evil Within,79,24,7.4,509.0,M,"['Horror', ' Action Adventure', ' Horror', ' Survival']",2014,Bethesda Softworks,0.69
88,For Honor,79,26,5.9,280.0,M,"['Action Adventure', ' General']",2017,Ubisoft,0.87
89,Ace Combat 7: Skies Unknown,79,17,7.8,87.0,T,"['Simulation', ' Flight', ' Combat']",2019,Bandai Namco Games,0.0
90,Killing Floor 2,79,9,6.8,9.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2017,Tripwire Interactive,0.06
91,Wolfenstein: The New Order,79,18,7.8,468.0,M,"['General', ' Shooter', ' Historic', ' Action', ' Shooter', ' First-Person', ' Historic', ' Arcade']",2014,Bethesda Softworks,0.75
92,Halo Wars 2,79,79,6.1,492.0,T,"['Strategy', ' Real-Time', ' General']",2017,Microsoft Studios,0.51
93,Pro Evolution Soccer 2015,79,9,6.7,71.0,E,"['Action', ' General', ' Sports', ' Traditional', ' Team', ' Soccer', ' Sim']",2014,Konami Digital Entertainment,0.15
94,World To The West,79,10,,,E10+,"['Action Adventure', ' Linear']",2017,Soedesco,0.0
95,The Book Of Unwritten Tales 2,79,7,7.2,9.0,T,"['Adventure', ' General', ' Point-and-Click']",2015,Nordic Games,0.0
96,Alien: Isolation,78,24,8.0,381.0,M,"['Action Adventure', ' Sci-Fi', ' General', ' Survival']",2014,Sega,0.52
97,Skylanders Imaginators,78,14,5.2,17.0,E10+,"['Action', ' Platformer', ' 3D']",2016,Activision,0.27
98,Watch Dogs,78,15,5.9,771.0,M,"['Action Adventure', ' Modern', ' General', ' Modern', ' Open-World']",2014,Ubisoft,1.64
99,Call Of Duty: Ghosts,78,7,4.3,716.0,M,"['Action', ' Shooter', ' Shooter', ' First-Person', ' Modern', ' Modern', ' Arcade']",2013,Activision,3.07
