,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
213,Elex,62,8,6.4,523.0,M,"['Role-Playing', ' Western-Style']",2017,THQ Nordic,0.04
214,Kinect Sports Rivals,60,53,5.0,146.0,E10+,"['General', ' Sports', ' General']",2014,Microsoft Studios,0.62
215,Rory Mcilroy Pga Tour,60,26,4.2,75.0,E,"['Traditional', ' Sports', ' Individual', ' Golf', ' Sim']",2015,Electronic Arts,0.28
216,The Peanuts Movie: Snoopy'S Grand Adventure,60,9,5.0,4.0,E,"['Action', ' Platformer', ' 2D']",2015,Activision,0.0
217,The Town Of Light,60,13,6.6,17.0,M,"['Adventure', ' 3D', ' First-Person']",2017,THQ Nordic,0.01
218,Nba Live 16,60,17,5.6,70.0,E,"['Sports', ' Team', ' Basketball', ' Sim']",2015,EA Sports,0.13
219,Gunscape,60,4,,,T,"['Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']",2016,,0.0
220,Beyond Eyes,60,24,5.6,28.0,E,"['Action Adventure', ' General']",2015,,0.0
221,Crackdown 3,60,82,4.2,938.0,M,"['Action', ' Sci-Fi', ' Third-Person', ' Shooter', ' Action Adventure', ' Open-World']",2019,Microsoft Studios,0.0
222,Naruto To Boruto: Shinobi Striker,60,7,5.7,15.0,T,"['Action', ' Fighting', ' 3D']",2018,Bandai Namco Games,0.19
223,Cars 3: Driven To Win,59,9,7.0,5.0,E10+,"['Racing', ' Arcade', ' Automobile']",2017,Warner Bros. Interactive Entertainment,0.05
224,Tetris Ultimate,59,8,4.2,13.0,E,"['Miscellaneous', ' Puzzle', ' Stacking']",2014,Ubisoft,0.0
225,Nhl 15,59,22,3.2,181.0,E10+,"['Sports', ' Traditional', ' Team', ' Ice Hockey', ' Sim']",2014,EA Sports,0.42
226,Slender: The Arrival,59,6,6.9,19.0,T,"['Adventure', ' 3D', ' First-Person']",2015,Unknown,0.0
227,Moto Racer 4,59,6,4.4,5.0,E,"['Racing', ' Arcade', ' Other']",2017,PQube,0.02
228,Dead By Daylight,58,10,6.0,53.0,M,"['Action Adventure', ' Survival']",2017,505 Games,0.12
229,Shape Up,58,6,7.6,33.0,E,"['Miscellaneous', ' Exercise / Fitness']",2014,Ubisoft,0.18
230,The Dwarves,58,13,3.9,21.0,M,"['Role-Playing', ' General']",2016,THQ Nordic,0.02
231,Black Mirror,57,10,2.9,9.0,M,"['Adventure', ' 3D', ' Third-Person']",2017,THQ Nordic,0.03
232,Sniper: Ghost Warrior 3,57,12,6.4,102.0,M,"['Action', ' Shooter', ' First-Person', ' Tactical', ' Modern']",2017,City Interactive,0.18
233,Wwe 2K15,56,25,5.3,68.0,T,"['Action', ' Sports', ' Fighting', ' Individual', ' Combat', ' Wrestling']",2014,2K Sports,0.61
234,Crimson Dragon,55,39,6.5,257.0,T,"['Shooter', ' Rail', ' Action', ' Shooter', ' Rail']",2013,,0.0
235,Teenage Mutant Ninja Turtles: Mutants In Manhattan,55,14,5.9,42.0,T,"['Action', "" Beat-'Em-Up"", ' 3D']",2016,Activision,0.07
236,Forced,54,4,,,T,"['Role-Playing', ' Action RPG']",2015,,0.0
237,Ride,54,9,5.0,18.0,E,"['Racing', ' Simulation', ' General', ' Automobile']",2015,Milestone S.r.l.,0.11
238,Goat Simulator,53,15,6.3,72.0,T,"['Simulation', ' General']",2015,Koch Media,0.01
239,Friday The 13Th: The Game,53,9,5.7,71.0,M,"['Action Adventure', ' Survival']",2017,Gun Media,0.27
240,Halo: Spartan Assault,53,28,4.5,267.0,T,"['Action', ' General', ' Shooter', ' Scrolling', "" Shoot-'Em-Up"", ' Top-Down', ' Vertical']",2013,,0.0
241,Extinction,52,18,1.7,27.0,M,"['Action Adventure', ' General']",2018,Maximum Games,0.05
242,Carmageddon: Max Damage,52,15,7.2,23.0,M,"['Racing', ' Arcade', ' Automobile']",2016,Stainless Games,0.03
243,No Time To Explain,52,9,5.3,9.0,T,"['Action', ' Platformer', ' 2D']",2015,,0.0
244,Murdered: Soul Suspect,51,17,7.1,155.0,M,"['Action', ' Action Adventure', ' General', ' Horror', ' Survival']",2014,Square Enix,0.17
245,Aerea,50,7,4.0,4.0,E10+,"['Role-Playing', ' Action RPG']",2017,Soedesco,0.0
246,Homefront: The Revolution,49,12,4.4,136.0,M,"['Modern', ' Action', ' Shooter', ' First-Person', ' Arcade']",2016,Deep Silver,0.21
247,Lococycle,48,46,4.0,100.0,T,"['Driving', ' Racing', ' General', ' General', ' Arcade', ' Automobile']",2013,,0.0
248,Bladestorm: Nightmare,48,6,6.9,9.0,T,"['Action', "" Beat-'Em-Up"", ' 3D']",2015,Tecmo Koei,0.08
249,The Amazing Spider-Man 2,46,12,4.7,62.0,T,"['Action', ' Action Adventure', ' General', ' General', ' Open-World']",2014,Activision,0.0
250,Raid: World War Ii,46,7,5.6,8.0,M,"['Action Adventure', ' General']",2017,505 Games,0.03
251,R.B.I. Baseball 15,46,4,4.6,22.0,E,"['Sports', ' Team', ' Baseball', ' Arcade']",2015,MLB.com,0.0
252,Dead Alliance,43,7,3.4,5.0,M,"['Action', ' General', ' Shooter', ' First-Person', ' Tactical']",2017,Maximum Games,0.04
253,Funk Of Titans,43,22,4.3,39.0,T,"['Action', ' Platformer', ' 2D']",2015,,0.0
254,Hello Neighbor,42,13,4.4,67.0,E10+,"['Action', ' Adventure', ' General', ' 3D', ' First-Person']",2017,Gearbox Software,0.42
255,Tony Hawk'S Pro Skater 5,39,18,2.1,132.0,T,"['Sports', ' Individual', ' Skate / Skateboard']",2015,Activision,0.14
256,Overlord: Fellowship Of Evil,36,6,3.6,8.0,T,"['Role-Playing', ' Action RPG']",2015,,0.0
257,7 Days To Die,35,17,5.4,101.0,M,"['Action', ' Action Adventure', ' Shooter', ' Survival', ' Sandbox', ' First-Person', ' Arcade']",2016,Telltale Games,0.12
258,Troll And I,33,5,5.0,6.0,T,"['Action Adventure', ' General']",2017,Maximum Games,0.02
259,Alekhine'S Gun,33,6,2.5,28.0,M,"['Action Adventure', ' General']",2016,Maximum Games,0.0
260,Road Rage,33,6,3.3,7.0,M,"['Simulation', ' Vehicle', ' Combat']",2017,Maximum Games,0.04
261,Fighter Within,23,39,2.8,211.0,T,"['Sports', ' General', ' General']",2013,Ubisoft,0.17
262,Rugby 15,20,4,2.9,32.0,E,"['Alternative', ' Sports', ' Team', ' Rugby']",2015,Bigben Interactive,0.09
263,Monster Hunter: World,90,17,7.1,402.0,T,"['Role-Playing', ' Action RPG']",2018,Capcom,0.93
264,Battlefield 1,87,39,7.6,666.0,M,"['Action', ' General', ' Shooter', ' First-Person', ' Tactical']",2016,Electronic Arts,5.13
265,Forza Motorsport 6,87,85,7.8,854.0,E,"['Driving', ' GT / Street', ' Racing', ' Simulation', ' Automobile']",2015,Microsoft Studios,2.02
266,Xcom 2,87,17,7.6,91.0,T,"['Strategy', ' Turn-Based', ' General', ' Tactics']",2016,2K Games,0.19
267,Mortal Kombat X,86,21,7.5,341.0,M,"['Action', ' Fighting', ' 2D', ' 3D']",2015,Warner Bros. Interactive Entertainment,1.74
268,Pinball Fx 2,85,5,7.0,41.0,E10+,"['Action', ' Miscellaneous', ' Parlor', ' Pinball']",2014,,0.0
269,Halo: The Master Chief Collection,85,69,7.5,1479.0,M,"['Miscellaneous', ' Compilation', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']",2014,Microsoft Studios,3.44
270,Fortnite,85,5,3.5,228.0,T,"['Action', ' Shooter', ' Third-Person', ' Tactical']",2017,Gearbox Software,0.77
271,South Park: The Fractured But Whole,84,31,7.9,115.0,M,"['Role-Playing', ' General']",2017,Ubisoft,0.62
272,Fifa 17,84,51,5.1,271.0,E,"['Sports', ' Team', ' Soccer', ' Sim']",2016,Electronic Arts,3.71
273,Madden Nfl 16,84,23,6.0,127.0,E,"['Sports', ' Team', ' Football', ' Sim']",2015,EA Sports,2.47
274,Little Nightmares,83,22,7.8,56.0,T,"['Action Adventure', ' General', ' Linear']",2017,Namco Bandai Games,0.16
275,Metro Exodus,82,32,6.8,563.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2019,Deep Silver,0.0
276,Far Cry 4,82,15,7.6,448.0,M,"['Action', ' Shooter', ' First-Person', ' Modern', ' Arcade']",2014,Ubisoft,1.68
277,Bulletstorm: Full Clip Edition,82,13,7.2,29.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2017,Gearbox Software,0.08
278,Mega Man Legacy Collection,80,30,8.4,74.0,E,"['Miscellaneous', ' Compilation']",2015,Capcom,0.0
279,Rock Band 4,79,27,6.5,56.0,T,"['Action', ' Rhythm', ' Music']",2015,Harmonix Music Systems,0.75
280,Torment: Tides Of Numenera,79,12,6.9,39.0,M,"['General', ' Role-Playing', ' Western-Style']",2017,Techland,0.01
281,Resident Evil: Revelations,78,6,8.5,46.0,M,"['Action Adventure', ' Survival']",2017,Capcom,0.02
282,Quantum Break,77,106,7.1,1954.0,M,"['General', ' Action', ' General']",2016,Microsoft Studios,0.76
283,Wulverblade,77,12,7.4,9.0,M,"['Action', "" Beat-'Em-Up"", ' 2D']",2018,,0.0
284,Plants Vs Zombies: Garden Warfare,76,65,7.5,448.0,E10+,"['General', ' Action', ' General', ' Shooter', ' Third-Person', ' Tactical']",2014,Electronic Arts,0.71
285,Lego Star Wars: The Force Awakens,76,11,7.0,29.0,E10+,"['Action Adventure', ' General']",2016,Warner Bros. Interactive Entertainment,0.5
286,Mass Effect: Andromeda,76,35,5.0,1061.0,M,"['Role-Playing', ' Action RPG']",2017,Electronic Arts,0.78
287,Raiden V,75,13,7.8,10.0,E,"['Action', ' Shooter', "" Shoot-'Em-Up"", ' Vertical']",2016,Moss,0.0
288,Transformers: Devastation,75,25,7.5,66.0,T,"['Action', "" Beat-'Em-Up"", ' 3D']",2015,Activision,0.15
289,The Escapists,74,31,6.7,32.0,T,"['Action', ' General']",2015,,0.0
290,Attack On Titan 2,74,10,6.5,15.0,M,"['Action', ' General']",2018,Koei Tecmo,0.09
291,Chariot,73,14,7.5,60.0,E,"['Action', ' Platformer', ' 2D']",2014,,0.0
292,Pure Farming 2018,73,9,7.0,5.0,E,"['Simulation', ' Virtual', ' Career']",2018,Techland,0.03
293,Killer Instinct,73,51,6.3,641.0,T,"['Action', ' Fighting', ' Fighting', ' 3D', ' 2D', ' 3D']",2013,Microsoft Game Studios,0.0
294,Madden Nfl 25,73,18,5.8,113.0,E,"['Sports', ' Traditional', ' Team', ' Football', ' Arcade', ' Arcade', ' Sim']",2013,EA Sports,0.83
295,Sword Art Online: Fatal Bullet,72,8,7.3,32.0,T,"['Action', ' Shooter', ' Third-Person', ' Arcade']",2018,Namco Bandai Games,0.1
296,Battleborn,71,20,7.1,179.0,T,"['Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Tactical', ' Arcade']",2016,2K Games,0.28
297,Worms Battlegrounds,70,12,6.2,39.0,E10+,"['Strategy', ' Turn-Based', ' Wargame', ' Artillery']",2014,,0.0
298,Below,70,30,5.4,63.0,T,"['General', ' Action', ' General']",2018,,0.0
299,Vampyr,70,16,6.7,131.0,M,"['Role-Playing', ' General', ' Action RPG']",2018,Focus Home Interactive,0.12
300,Lock'S Quest,69,5,,,E10+,"['Strategy', ' Real-Time', ' Defense']",2017,THQ Nordic,0.02
301,Kingdom Come: Deliverance,68,18,7.6,275.0,M,"['Historic', ' Role-Playing', ' Action Adventure', ' General', ' Action RPG']",2018,Deep Silver,0.22
302,Pure Pool,68,7,6.9,8.0,E,"['Alternative', ' Other', ' Sports', ' Miscellaneous', ' Parlor', ' Individual', ' Billiards']",2014,,0.0
303,Wwe 2K18,67,15,4.4,37.0,T,"['Sports', ' Individual', ' Combat', ' Wrestling']",2017,2K Sports,0.66
304,Shiness: The Lightning Kingdom,67,8,7.4,8.0,T,"['Role-Playing', ' Action RPG']",2017,,0.0
305,Mafia Iii,67,21,4.8,365.0,M,"['Action Adventure', ' Open-World']",2016,2K Games,1.11
306,Outcast: Second Contact,67,7,7.4,5.0,T,"['Action Adventure', ' Adventure', ' General', ' Open-World']",2017,Bigben Interactive,0.0
307,The Sims 4,66,19,3.1,54.0,T,"['Simulation', ' Virtual', ' Virtual Life']",2017,Electronic Arts,0.73
308,Farming Simulator 17,65,9,7.0,7.0,E,"['Simulation', ' Virtual', ' Career']",2016,Focus Home Interactive,0.33
309,Costume Quest 2,65,5,6.3,22.0,E10+,"['Role-Playing', ' Action RPG', ' Japanese-Style']",2014,,0.0
310,Vikings: Wolves Of Midgard,64,7,7.5,13.0,M,"['Role-Playing', ' Action RPG']",2017,Kalypso Media,0.02
311,Super Lucky'S Tale,64,51,7.0,169.0,E,"['2D', ' Action', ' Platformer', ' 3D']",2017,Microsoft Studios,0.22
312,Zombie Army Trilogy,62,10,6.9,48.0,M,"['Action', ' Shooter', ' Third-Person', ' Arcade']",2015,Rebellion Developments,0.12
313,Metal Gear Survive,62,14,1.9,195.0,M,"['Action Adventure', ' General']",2018,Konami Digital Entertainment,0.08
314,One Piece: Burning Blood,60,10,6.4,16.0,T,"['Action', ' Fighting', ' 3D']",2016,Namco Bandai Games,0.19
315,Nascar Heat 2,59,4,,,E,"['Racing', ' Simulation', ' Automobile']",2017,505 Games,0.12
316,Rugby 18,56,6,6.6,5.0,E,"['Sports', ' Team', ' Rugby']",2017,Koch Media,0.05
317,Mighty No. 9,55,13,4.1,105.0,E10+,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']",2016,Deep Silver,0.05
318,Nba Live 15,53,9,6.8,52.0,E,"['Sports', ' Traditional', ' Team', ' Basketball', ' Arcade']",2014,Electronic Arts,0.22
319,Super Dungeon Bros,53,11,2.1,16.0,E10+,"['Action', ' General']",2016,Wired Productions,0.0
320,Blue Estate,51,4,7.4,19.0,M,"['Action', ' Shooter', ' Light Gun', ' Rail']",2015,Focus Home Interactive,0.0
321,De-Formers,49,7,,,E10+,"['Action', ' Arcade']",2017,,0.0
322,Grand Theft Auto V,97,14,7.8,1087.0,M,"['Action Adventure', ' Modern', ' Open-World']",2014,Rockstar Games,8.72
323,Forza Horizon 3,91,91,8.0,1052.0,E,"['Racing', ' Simulation', ' Automobile']",2016,Microsoft Studios,3.93
324,Destiny: The Taken King,89,11,5.2,415.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']",2015,Activision,1.27
325,Wolfenstein Ii: The New Colossus,88,21,6.4,390.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2017,Bethesda Softworks,0.7
326,Dark Souls Iii,87,14,8.6,649.0,M,"['Role-Playing', ' Action RPG']",2016,Namco Bandai Games,0.79
327,Rocket League,87,22,8.1,275.0,E,"['Sports', ' Team', ' Soccer', ' Arcade']",2016,505 Games,1.38
328,Titanfall 2,87,32,8.3,458.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2016,Electronic Arts,1.37
329,Nba 2K16,86,14,6.1,120.0,E10+,"['Action', ' General', ' Sports', ' Team', ' Basketball', ' Sim']",2015,2K Sports,2.41
330,Fifa 15,82,33,5.4,359.0,E,"['Sports', ' Traditional', ' Team', ' Soccer', ' Sim']",2014,EA Sports,2.19
331,Darksiders: Warmastered Edition,80,17,8.1,37.0,M,"['Action Adventure', ' Open-World']",2016,THQ Nordic,0.04
332,Kingdom Hearts Iii,80,23,8.3,547.0,E10+,"['Action RPG', ' Action Adventure', ' Fantasy', ' Role-Playing', ' Action RPG']",2019,Square Enix,0.0
333,Ultimate Marvel Vs. Capcom 3,78,5,7.9,15.0,T,"['Action', ' Fighting', ' 2D']",2017,Capcom,0.14
334,Dragon Ball: Xenoverse 2,73,9,7.1,50.0,T,"['Action', ' Fighting', ' 3D']",2016,Namco Bandai Games,0.47
335,Dead Rising 4,72,86,4.7,359.0,M,"['Action Adventure', ' Open-World']",2016,Microsoft Studios,0.73
336,Lego Jurassic World,70,17,6.7,51.0,E10+,"['Action Adventure', ' General']",2015,Warner Bros. Interactive Entertainment,0.78
337,The Lego Movie Videogame,69,18,6.8,57.0,E10+,"['Action Adventure', ' Fantasy', ' General', ' Fantasy']",2014,Warner Bros. Interactive Entertainment,0.65
338,Song Of The Deep,66,12,7.2,26.0,E,"['Action Adventure', ' General']",2016,Insomniac Games,0.13
339,Pneuma: Breath Of Life,63,17,6.8,58.0,E,"['Sci-Fi', ' Adventure', ' 3D', ' First-Person']",2015,,0.0
340,Nba Live 14,36,14,3.1,89.0,E,"['Arcade', ' Sports', ' Traditional', ' Team', ' Basketball', ' Arcade']",2013,EA Sports,0.24
341,Fru,84,24,6.8,37.0,E,"['Miscellaneous', ' Puzzle', ' Action']",2016,,0.0
342,Fantasia: Music Evolved,77,48,7.5,70.0,E10+,"['Music', ' Action', ' Miscellaneous', ' Rhythm', ' Music']",2014,Disney Interactive Studios,0.19
343,The Surge,74,17,7.1,72.0,M,"['Role-Playing', ' Action RPG']",2017,Koch Media,0.12
344,Mount & Blade: Warband,59,10,7.8,40.0,T,"['Role-Playing', ' Western-Style']",2016,Koch Media,0.0
