,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
0,Red Dead Redemption 2,97,33,7.7,2413.0,M,"['Action Adventure', ' Open-World']","Oct 26, 2018",2018.0,Rockstar Games,3.76,1.47,0.0,0.54,5.77
1,Metal Gear Solid V: The Phantom Pain,95,10,7.4,1111.0,M,"['Modern', ' Modern', ' Action Adventure', ' Open-World']","Sep 1, 2015",2015.0,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
2,The Witcher 3: Wild Hunt,91,13,9.2,4585.0,M,"['Action RPG', ' Role-Playing', ' Action RPG']","May 19, 2015",2015.0,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74
3,Rayman Legends,91,6,7.9,243.0,E10+,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']","Feb 18, 2014",2014.0,Ubisoft,0.13,0.22,0.0,0.03,0.38
4,Overwatch,91,18,5.9,886.0,T,"['Action', ' Shooter', ' First-Person', ' Tactical']","May 23, 2016",2016.0,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
5,NBA 2K17,90,17,5.9,132.0,E,"['Sports', ' Team', ' Basketball', ' Sim']","Sep 16, 2016",2016.0,2K Sports,1.7,0.12,0.0,0.21,2.04
6,Call of Duty: Modern Warfare Remastered,89,6,6.0,133.0,M,"['Arcade', ' Action', ' Shooter', ' First-Person', ' Tactical']","Nov 4, 2016",2017.0,Activision,0.16,0.06,0.0,0.02,0.24
7,Stardew Valley,89,10,7.8,105.0,E10+,"['Role-Playing', ' General']","Dec 14, 2016",2017.0,505 Games,0.02,0.0,0.0,0.0,0.03
8,Injustice 2,89,23,8.1,223.0,T,"['Action', ' Fighting', ' 2D']","May 16, 2017",2017.0,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89
9,Fallout 4,88,39,6.5,1971.0,M,"['General', ' Role-Playing', ' Western-Style']","Nov 10, 2015",2015.0,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
10,Dishonored 2,88,25,7.3,252.0,M,"['Action Adventure', ' General']","Nov 10, 2016",2016.0,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86
11,Ori and the Blind Forest,88,73,8.6,888.0,E,"['Action', ' Platformer', ' 2D']","Mar 11, 2015",,,0.0,0.0,0.0,0.0,0.0
12,Pro Evolution Soccer 2017,87,12,5.9,99.0,E,"['Sports', ' Team', ' Soccer', ' Sim']","Sep 13, 2016",2016.0,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1
13,Destiny 2,87,22,4.4,589.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']","Sep 6, 2017",2017.0,Activision,1.66,0.47,0.0,0.23,2.35
14,DiRT Rally,86,17,7.9,83.0,E,"['Racing', ' Simulation', ' Automobile']","Apr 5, 2016",2016.0,Codemasters,0.12,0.08,0.0,0.02,0.21
15,Cuphead,86,72,8.3,801.0,E10+,"['Action', ' Platformer', ' 2D']","Sep 29, 2017",,,0.0,0.0,0.0,0.0,0.0
16,Shovel Knight,86,10,7.6,64.0,E,"['Action', ' Platformer', ' 2D']","Apr 21, 2015",2015.0,Yacht Club Games,0.0,0.0,0.0,0.0,0.0
17,NBA 2K14,86,15,5.7,184.0,E,"['Sim', ' Sports', ' Traditional', ' Team', ' Basketball', ' Sim']","Nov 12, 2013",2013.0,2K Sports,0.72,0.12,0.0,0.09,0.94
18,Titanfall,86,68,6.7,2485.0,M,"['Shooter', ' Sci-Fi', ' Miscellaneous', ' General', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Mar 11, 2014",2014.0,Electronic Arts,1.88,0.91,0.04,0.28,3.11
19,Rise of the Tomb Raider,86,102,8.0,1427.0,M,"['Fantasy', ' Action Adventure', ' General', ' Linear']","Nov 10, 2015",2015.0,Square Enix,0.61,0.82,0.03,0.12,1.58
20,DiRT 4,86,21,6.7,61.0,T,"['Racing', ' Simulation', ' Automobile']","Jun 6, 2017",2017.0,Codemasters,0.11,0.1,0.0,0.02,0.23
21,Forza Motorsport 7,86,79,6.2,833.0,E,"['Racing', ' Simulation', ' Automobile']","Sep 29, 2017",2017.0,Microsoft Studios,0.58,0.81,0.01,0.12,1.52
22,Batman: Arkham Knight,85,16,6.9,816.0,M,"['General', ' Fantasy', ' Action Adventure', ' Open-World']","Jun 23, 2015",2015.0,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58
23,Assassin's Creed Origins,85,42,7.5,634.0,M,"['Action Adventure', ' Open-World']","Oct 27, 2017",2017.0,Ubisoft,1.34,0.92,0.0,0.22,2.47
24,Axiom Verge,85,4,7.7,9.0,E10+,"['Action Adventure', ' General']","Sep 30, 2016",,,0.0,0.0,0.0,0.0,0.0
25,Pro Evolution Soccer 2016,85,14,6.0,151.0,E,"['Sports', ' Team', ' Soccer', ' Sim']","Sep 15, 2015",2015.0,Konami Digital Entertainment,0.05,0.06,0.0,0.01,0.12
26,LIMBO,85,5,8.0,80.0,T,"['Action', ' Platformer', ' 2D']","Dec 5, 2014",,,0.0,0.0,0.0,0.0,0.0
27,PlayerUnknown's Battlegrounds,85,9,5.0,140.0,T,"['Action', ' Shooter', ' First-Person', ' Tactical']","Sep 4, 2018",2017.0,Microsoft Studios,1.29,0.69,0.0,0.2,2.17
28,Life is Strange,85,4,8.5,249.0,M,"['Sci-Fi', ' Action Adventure', ' General']","Oct 20, 2015",2016.0,Square Enix,0.08,0.03,0.0,0.01,0.12
29,Shadow Tactics: Blades of the Shogun,85,6,7.7,23.0,M,"['Strategy', ' Real-Time', ' Tactics']","Aug 1, 2017",2017.0,Kalypso Media,0.01,0.0,0.0,0.0,0.01
30,NBA 2K18,85,16,1.5,173.0,E10+,"['Sports', ' Team', ' Basketball', ' Sim']","Sep 15, 2017",2017.0,2K Sports,1.67,0.14,0.0,0.21,2.02
31,Project CARS 2,84,22,5.7,68.0,E,"['Racing', ' Simulation', ' Automobile']","Sep 22, 2017",2017.0,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2
32,Rare Replay,84,75,8.0,353.0,M,"['Miscellaneous', ' Compilation']","Aug 4, 2015",2015.0,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
33,Gears of War 4,84,99,7.0,1322.0,M,"['Action', ' Sci-Fi', ' Third-Person', ' Shooter', ' Arcade']","Oct 11, 2016",2016.0,Microsoft Studios,2.17,0.9,0.0,0.32,3.38
34,Halo 5: Guardians,84,101,6.4,2950.0,T,"['Shooter', ' Sci-Fi', ' Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Arcade']","Oct 27, 2015",2015.0,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
35,Terraria,84,5,7.8,39.0,T,"['Action', ' Action Adventure', ' Platformer', ' Sandbox', ' 2D']","Nov 14, 2014",2014.0,505 Games,0.0,0.04,0.0,0.0,0.04
36,F1 2017,84,17,7.3,33.0,E,"['Racing', ' Simulation', ' Automobile']","Aug 25, 2017",2017.0,Koch Media,0.04,0.13,0.0,0.01,0.19
37,Battle Chasers: Nightwar,84,8,6.8,44.0,T,"['Role-Playing', ' Action RPG', ' Japanese-Style']","Oct 3, 2017",2017.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
38,The Banner Saga 2,84,8,7.6,26.0,T,"['Strategy', ' Turn-Based', ' Tactics']","Jul 1, 2016",,,0.0,0.0,0.0,0.0,0.0
39,Dishonored: Death of the Outsider,84,16,6.3,51.0,M,"['Action Adventure', ' General']","Sep 15, 2017",2017.0,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14
40,FIFA 16,84,45,4.4,477.0,E,"['Sports', ' Team', ' Soccer', ' Sim']","Sep 22, 2015",2015.0,EA Sports,0.92,2.1,0.0,0.24,3.25
41,Rogue Legacy,84,6,7.3,14.0,E10+,"['Action', ' Platformer', ' 2D']","May 27, 2015",,,0.0,0.0,0.0,0.0,0.0
