,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
97,Call of Duty: Infinite Warfare,78,18,3.7,415.0,M,"['Action', ' Shooter', ' First-Person', ' Tactical']","Nov 4, 2016",2016.0,Activision,2.91,1.44,0.0,0.44,4.79
98,Aven Colony,77,12,7.7,7.0,E10+,"['Strategy', ' Management', ' Government']","Jul 25, 2017",2017.0,Sold Out,0.06,0.0,0.0,0.01,0.06
99,LEGO City Undercover,77,16,6.7,22.0,E10+,"['Action Adventure', ' Open-World']","Apr 4, 2017",2017.0,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3
100,EA Sports UFC 3,77,17,5.3,54.0,T,"['Sports', ' Individual', ' Combat', ' Boxing / Martial Arts']","Jan 30, 2018",2018.0,EA Sports,0.3,0.1,0.0,0.04,0.44
101,The Escapists 2,77,10,6.5,6.0,T,"['Action', ' General']","Aug 22, 2017",2017.0,Sold Out,0.05,0.08,0.0,0.01,0.15
102,#IDARB,77,31,6.9,85.0,E,"['Action', ' General']","Jan 30, 2015",,,0.0,0.0,0.0,0.0,0.0
103,NHL 17,77,23,4.1,58.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']","Sep 13, 2016",2016.0,EA Sports,0.52,0.01,0.0,0.06,0.6
104,Batman: Return to Arkham,77,6,8.2,82.0,T,"['Miscellaneous', ' Compilation']","Oct 18, 2016",2016.0,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2
105,Marvel vs. Capcom: Infinite,77,16,5.2,59.0,T,"['Action', ' Fighting', ' 2D']","Sep 19, 2017",2017.0,Capcom,0.26,0.05,0.0,0.03,0.34
106,L.A. Noire,77,12,7.6,59.0,M,"['Action Adventure', ' Adventure', ' 3D', ' Open-World', ' Third-Person']","Nov 14, 2017",2017.0,Rockstar Games,0.14,0.09,0.0,0.02,0.25
107,Ziggurat,77,6,7.9,16.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']","Mar 20, 2015",2016.0,Soedesco,0.0,0.01,0.0,0.0,0.01
108,Portal Knights,77,7,6.7,12.0,E10+,"['Action', ' Role-Playing', ' General', ' Action RPG']","May 23, 2017",2017.0,505 Games,0.02,0.0,0.0,0.0,0.02
109,NHL 18,77,16,4.0,46.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']","Sep 12, 2017",2017.0,EA Sports,0.32,0.03,0.0,0.04,0.39
110,Broken Sword 5: The Serpent's Curse,77,12,7.0,14.0,T,"['Adventure', ' General']","Sep 4, 2015",2015.0,Revolution Software,0.0,0.02,0.0,0.0,0.02
