,title,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,developer,genres,release_date
771,V-Rally 4,67,12,6.3,9.0,E,Kylotonn,"['Racing, Arcade, Automobile']","Sep 11, 2018"
772,The First Tree: Console Edition,67,4,,,E,David Wehle,"['Adventure, 3D, Third-Person']","Nov 30, 2018"
773,Headliner: NoviNews,67,4,,,T,"Chorus Worldwide, Unbound Creations","['Adventure, General']","Dec 11, 2019"
774,Star Wars Battlefront II,66,34,1.3,1225.0,T,EA DICE,"['Action, Shooter, First-Person, Tactical']","Nov 17, 2017"
775,Monochroma,66,11,,,T,Nowhere Studios,"['Action, Platformer, 2D']","Jun 24, 2016"
776,Redeemer: Enhanced Edition,66,10,7.7,6.0,M,Sobaka,"['Action Adventure, Linear']","Jul 19, 2019"
777,A Boy and His Blob,66,4,,,E,Abstraction Games,"['Action, Platformer, 2D']","Jan 20, 2016"
778,Hyper Void,66,5,5.5,4.0,E10+,IN|FRAMEZ TECHNOLOGY CORP.,"[""Action, Shooter, Shoot-'Em-Up, Vertical""]","Jan 6, 2016"
779,The Sinking City,66,25,6.4,55.0,M,Frogwares,"['Action Adventure, Survival']","Jun 25, 2019"
780,Neverwinter,66,14,5.0,161.0,T,Cryptic Studios,"['Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy']","Mar 31, 2015"
781,Enigmatis: The Ghosts of Maple Creek,66,8,7.4,7.0,T,Artifex Mundi,"['Puzzle, Hidden Object, General']","Apr 8, 2016"
782,Her Majesty's SPIFFING,66,8,6.8,5.0,T,BillyGoat Entertainment Ltd,"['Adventure, General']","Dec 7, 2016"
783,Sigi: A Fart for Melusina,66,4,,,E10+,pixel.lu,"['Action, Platformer, 2D']","Sep 7, 2018"
784,Darksiders III: Keepers of the Void,66,4,4.8,4.0,M,Gunfire Games,"['Action Adventure, Open-World']","Jul 16, 2019"
785,DCL - The Game,66,4,,,E,Drone Champions League,"['Racing, Arcade, Other']","Feb 18, 2020"
786,Cobalt,66,13,7.3,19.0,E10+,Oxeye,"['Action, Platformer, Platformer, 2D, 2D']","Feb 2, 2016"
787,The Incredible Adventures of Van Helsing II,66,9,6.8,4.0,T,NeocoreGames,"['Role-Playing, Action RPG']","Jul 1, 2016"
788,Time Recoil,66,6,,,T,10tons,"[""Action, Shooter, Shoot-'Em-Up, Top-Down""]","Sep 15, 2017"
789,Silence: The Whispered World 2,66,8,7.4,30.0,T,Daedalic Entertainment,"['Adventure, General']","Nov 15, 2016"
